id;satellite;sensor;mode;acquisition start;acquisition stop;orbit;orbit direction;polarisation mode;elevation angle;incidence angle;number of frames;interferometric stack id;Geo Bas Perp;Geo Bas Parallel;cloud percent;off nadir angle;sun elevation angle;area square kilometers;AoI coverage;footprint
1478082;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2020-09-26 at 04:15:01 UTC;2020-09-26 at 04:15:09 UTC;69250;ASCENDING;HH;N/A;0.029319500000000002;1;N/A;N/A;N/A;N/A;N/A;N/A;2063.4;0.2124401912458948%;POLYGON((20.12343 39.500023,20.015339 39.949341,19.547131 39.880978,19.661591 39.432205,20.12343 39.500023))
1478083;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-09-26 at 04:15:17 UTC;2020-09-26 at 04:15:25 UTC;69250;ASCENDING;HH;N/A;0.0321995;1;N/A;N/A;N/A;N/A;N/A;N/A;2135.0;11002573849903200%;POLYGON((20.330242 40.561558,20.219429 41.013664,19.729078 40.944969,19.848358 40.493664,20.330242 40.561558))
1501073;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2020-10-07 at 04:21:09 UTC;2020-10-07 at 04:21:31 UTC;69413;ASCENDING;HH;N/A;0.02933;4;N/A;N/A;N/A;N/A;N/A;N/A;6084.2;6909115363899000%;POLYGON((18.557199 39.699898,18.22366 41.028065,17.751419 40.959911,18.09408 39.631935,18.557199 39.699898))
1510283;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2020-10-12 at 04:15:03 UTC;2020-10-12 at 04:15:11 UTC;69487;ASCENDING;HH;N/A;0.029318;1;N/A;N/A;N/A;N/A;N/A;N/A;2065.3;0.2247132962123595%;POLYGON((20.11595 39.498634,20.007244 39.948498,19.53948 39.880028,19.65416 39.430687,20.11595 39.498634))
1527388;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-01;2020-10-15 at 16:56:53 UTC;2020-10-15 at 16:57:33 UTC;69539;DESCENDING;HH;N/A;0.026556;7;N/A;N/A;N/A;N/A;N/A;N/A;11114.6;31272506389033500%;POLYGON((15.69064 42.258682,15.062619 39.851883,15.530061 39.782845,16.17474 42.187138,15.69064 42.258682))
1534466;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2020-10-18 at 04:27:00 UTC;2020-10-18 at 04:27:58 UTC;69576;ASCENDING;HH;N/A;0.0293525;10;N/A;N/A;N/A;N/A;N/A;N/A;16291.9;5965270961646090%;POLYGON((17.27442 38.716076,16.379101 42.271629,15.89779 42.203175,16.81765 38.648327,17.27442 38.716076))
1542373;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-10-20 at 16:50:55 UTC;2020-10-20 at 16:52:25 UTC;69613;DESCENDING;HH;N/A;0.032152;16;N/A;N/A;N/A;N/A;N/A;N/A;25545.8;4183312454530000%;POLYGON((16.284019 42.024105,14.9546 36.487415,15.40158 36.420578,16.76746 41.956844,16.284019 42.024105))
1579865;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2020-10-23 at 04:21:11 UTC;2020-10-23 at 04:21:33 UTC;69650;ASCENDING;HH;N/A;0.0293315;4;N/A;N/A;N/A;N/A;N/A;N/A;6054.6;6858166789108530%;POLYGON((18.5513 39.69442,18.219521 41.01601,17.74736 40.94791,18.088261 39.626274,18.5513 39.69442))
1551101;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-10-25 at 16:45:08 UTC;2020-10-25 at 16:45:20 UTC;69687;DESCENDING;HH;N/A;0.032189999999999996;2;N/A;N/A;N/A;N/A;N/A;N/A;3446.8;3781809051017240%;POLYGON((17.530121 40.953861,17.347099 40.206234,17.81745 40.139149,18.005711 40.886707,17.530121 40.953861))
1577530;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-0B;2020-11-05 at 16:50:35 UTC;2020-11-05 at 16:50:42 UTC;69850;DESCENDING;HH;N/A;0.023922000000000002;1;N/A;N/A;N/A;N/A;N/A;N/A;2157.5;0.5329733918689072%;POLYGON((17.755653 42.952621,17.64539 42.512833,18.17174 42.434475,18.267303 42.876991,17.755653 42.952621))
1579867;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-11-05 at 16:50:52 UTC;2020-11-05 at 16:52:24 UTC;69850;DESCENDING;HH;N/A;0.032153;16;N/A;N/A;N/A;N/A;N/A;N/A;25712.8;430697234772538%;POLYGON((16.29714 42.040646,14.959169 36.467857,15.406081 36.401176,16.78075 41.973549,16.29714 42.040646))
1584701;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2020-11-08 at 04:21:08 UTC;2020-11-08 at 04:21:30 UTC;69887;ASCENDING;HH;N/A;0.029328499999999997;4;N/A;N/A;N/A;N/A;N/A;N/A;6175.9;6985305422982750%;POLYGON((18.568701 39.672195,18.230249 41.020321,17.75808 40.952091,18.105801 39.60408,18.568701 39.672195))
1597612;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2020-11-13 at 04:14:59 UTC;2020-11-13 at 04:15:07 UTC;69961;ASCENDING;HH;N/A;0.029317;1;N/A;N/A;N/A;N/A;N/A;N/A;2067.6;0.19558980402747428%;POLYGON((20.133341 39.499958,20.025366 39.950085,19.55691 39.881405,19.67157 39.431892,20.133341 39.499958))
1608891;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-01;2020-11-16 at 16:56:48 UTC;2020-11-16 at 16:57:30 UTC;70013;DESCENDING;HH;N/A;0.0265555;7;N/A;N/A;N/A;N/A;N/A;N/A;11781.5;35375781917258500%;POLYGON((15.72436 42.325695,15.05908 39.775551,15.52573 39.705425,16.209209 42.255009,15.72436 42.325695))
1629791;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-08;2020-11-26 at 16:45:07 UTC;2020-11-26 at 16:45:14 UTC;70161;DESCENDING;VV;N/A;0.038755000000000005;1;N/A;N/A;N/A;N/A;N/A;N/A;1926.0;0.24216862952580148%;POLYGON((16.410265 40.987816,16.318476 40.576538,16.801737 40.512814,16.895737 40.92429,16.410265 40.987816))
1644719;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-12-07 at 16:50:51 UTC;2020-12-07 at 16:52:22 UTC;70324;DESCENDING;HH;N/A;0.0321515;16;N/A;N/A;N/A;N/A;N/A;N/A;25710.9;4283786012441600%;POLYGON((16.293619 42.039257,14.95646 36.466766,15.40334 36.399998,16.77721 41.972141,16.293619 42.039257))
1650050;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-12-12 at 16:45:03 UTC;2020-12-12 at 16:45:16 UTC;70398;DESCENDING;HH;N/A;0.0321945;2;N/A;N/A;N/A;N/A;N/A;N/A;3688.7;39799843504313600%;POLYGON((17.541531 40.973984,17.345831 40.173836,17.816031 40.107044,18.017321 40.907082,17.541531 40.973984))
1652067;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2020-12-15 at 04:14:58 UTC;2020-12-15 at 04:15:06 UTC;70435;ASCENDING;HH;N/A;0.029321;1;N/A;N/A;N/A;N/A;N/A;N/A;2060.8;0.20101226650290388%;POLYGON((20.131081 39.501583,20.022541 39.950497,19.554899 39.882107,19.669279 39.43362,20.131081 39.501583))
1656872;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-01;2020-12-18 at 16:56:46 UTC;2020-12-18 at 16:57:28 UTC;70487;DESCENDING;HH;N/A;0.026556;7;N/A;N/A;N/A;N/A;N/A;N/A;11779.2;35412807723356900%;POLYGON((15.7223 42.328079,15.05737 39.7784,15.52404 39.708294,16.20718 42.257469,15.7223 42.328079))
1666427;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2020-12-26 at 04:21:05 UTC;2020-12-26 at 04:21:27 UTC;70598;ASCENDING;HH;N/A;0.029328;4;N/A;N/A;N/A;N/A;N/A;N/A;6083.9;6911619005733860%;POLYGON((18.56673 39.693607,18.23365 41.021793,17.761459 40.953617,18.10364 39.625694,18.56673 39.693607))
1672569;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-01-03 at 16:56:45 UTC;2021-01-03 at 16:57:25 UTC;70724;DESCENDING;HH;N/A;0.029295;7;N/A;N/A;N/A;N/A;N/A;N/A;11327.7;25592824452614600%;POLYGON((15.329509 42.43898,14.699849 39.966408,15.16476 39.898422,15.812081 42.370419,15.329509 42.43898))
1677168;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2021-01-08 at 16:50:47 UTC;2021-01-08 at 16:52:19 UTC;70798;DESCENDING;HH;N/A;0.032151000000000006;16;N/A;N/A;N/A;N/A;N/A;N/A;25706.5;4327026396337800%;POLYGON((16.29744 42.044903,14.96039 36.473335,15.40731 36.406582,16.78108 41.977821,16.29744 42.044903))
