,CSK,SEN,IoU,geometry
40,1648226,S1B_IW_SLC__1SDV_20201210T170407_20201210T170432_024643_02EE32_5F2C,0.09938304803725899,"MULTIPOLYGON (((12.046979 37.081318, 11.675091 38.594013, 14.567939 38.992092, 14.878442 37.480583, 12.046979 37.081318)), ((13.77626 37.024021, 13.32113 37.090611, 13.59796 38.292175, 14.06049 38.225643, 13.77626 37.024021)))"
41,1648226,S1B_IW_SLC__1SDV_20201210T170342_20201210T170409_024643_02EE32_B2A1,0.03529914453990766,"MULTIPOLYGON (((12.406711 35.587868, 12.016197 37.20931599999999, 14.8526 37.608452, 15.181798 35.988533, 12.406711 35.587868)), ((13.77626 37.024021, 13.32113 37.090611, 13.59796 38.292175, 14.06049 38.225643, 13.77626 37.024021)))"
43,1660542,S1A_IW_SLC__1SDV_20201221T171258_20201221T171325_035787_04305B_3E0A,0.019442988983193476,"MULTIPOLYGON (((10.076162 36.801514, 9.679305000000001 38.422863, 12.578413 38.822281, 12.909906 37.20229, 10.076162 36.801514)), ((13.02703 37.333031, 12.57838 37.400887, 12.85002 38.525589, 13.30553 38.457596, 13.02703 37.333031)))"
49,1762255,S1B_IW_SLC__1SDV_20210316T170404_20210316T170431_026043_031B74_81C7,0.09053317201364564,"MULTIPOLYGON (((12.045919 37.080738, 11.647141 38.70155, 14.558521 39.101311, 14.891045 37.481773, 12.045919 37.080738)), ((13.77533 37.008339, 13.32032 37.074989, 13.59674 38.274246, 14.05911 38.207535, 13.77533 37.008339)))"
50,1762255,S1B_IW_SLC__1SDV_20210316T170340_20210316T170407_026043_031B74_2482,0.03664609337958674,"MULTIPOLYGON (((12.406987 35.587105, 12.016398 37.209057, 14.865872 37.609852, 15.194859 35.989449, 12.406987 35.587105)), ((13.77533 37.008339, 13.32032 37.074989, 13.59674 38.274246, 14.05911 38.207535, 13.77533 37.008339)))"
54,1285544,S1A_IW_SLC__1SDV_20200213T171250_20200213T171317_031237_0397A3_63F1,0.07973306962543066,"MULTIPOLYGON (((10.076334 36.801529, 9.679527 38.422756, 12.57861 38.82217, 12.910065 37.20229699999999, 10.076334 36.801529)), ((12.62034 37.453026, 12.16733 37.520088, 12.37241 38.391926, 12.83078 38.324787, 12.62034 37.453026)))"
59,1314608,S1A_IW_SLC__1SDV_20200401T171250_20200401T171317_031937_03B004_7528,0.0795574385419397,"MULTIPOLYGON (((10.076498 36.801514, 9.679699000000001 38.422882, 12.578609 38.822266, 12.910067 37.20225900000001, 10.076498 36.801514)), ((12.62112 37.455269, 12.16809 37.522308, 12.37303 38.392998, 12.83143 38.325951, 12.62112 37.455269)))"
64,1377380,S1A_IW_SLC__1SDV_20200706T171255_20200706T171322_033337_03DCC6_FC45,0.08128135828755904,"MULTIPOLYGON (((10.079096 36.800468, 9.682494999999999 38.421364, 12.581175 38.82064099999999, 12.912462 37.201111, 10.079096 36.800468)), ((12.61863 37.440937, 12.16565 37.507832, 12.37453 38.395908, 12.83296 38.328945, 12.61863 37.440937)))"
69,1418705,S1A_IW_SLC__1SDV_20200823T171258_20200823T171325_034037_03F36B_5D18,0.08046859219359656,"MULTIPOLYGON (((10.077416 36.80115900000001, 9.680736 38.422176, 12.579414 38.821499, 12.910775 37.201843, 10.077416 36.80115900000001)), ((12.62645 37.441593, 12.17347 37.508507, 12.38238 38.396484, 12.8408 38.329445, 12.62645 37.441593)))"
74,1509244,S1A_IW_SLC__1SDV_20201010T171259_20201010T171326_034737_040C09_5356,0.08100962910077346,"MULTIPOLYGON (((10.075627 36.801369, 9.678938 38.422119, 12.577782 38.82151, 12.909145 37.202122, 10.075627 36.801369)), ((12.61707 37.448425, 12.16405 37.515324, 12.37297 38.403111, 12.83146 38.33617, 12.61707 37.448425)))"
78,1672570,S1B_IW_SLC__1SDV_20210103T170406_20210103T170431_024993_02F97B_7FDA,0.1124184247209007,"MULTIPOLYGON (((12.046349 37.08165, 11.67449 38.594219, 14.567426 38.992306, 14.8779 37.480919, 12.046349 37.08165)), ((14.381771 36.68018, 13.93693 36.74799, 14.419141 38.750755, 14.87606 38.682747, 14.381771 36.68018)))"
79,1672570,S1B_IW_SLC__1SDV_20210103T170341_20210103T170408_024993_02F97B_C828,0.07301500380947637,"MULTIPOLYGON (((12.406156 35.587955, 12.015583 37.209652, 14.851995 37.60878, 15.181241 35.988613, 12.406156 35.587955)), ((14.381771 36.68018, 13.93693 36.74799, 14.419141 38.750755, 14.87606 38.682747, 14.381771 36.68018)))"
81,1685049,S1A_IW_SLC__1SDV_20210114T171257_20210114T171323_036137_043C99_1F8D,0.08904196787319206,"MULTIPOLYGON (((10.077229 36.800617, 9.680561000000001 38.421478, 12.579673 38.820843, 12.911001 37.20134, 10.077229 36.800617)), ((12.61007 37.385727, 12.15739 37.452488, 12.39102 38.446072, 12.84982 38.379314, 12.61007 37.385727)))"
87,1794761,S1B_IW_SLC__1SDV_20210409T170405_20210409T170432_026393_03268C_8FEA,0.10664112437452584,"MULTIPOLYGON (((12.046189 37.08065, 11.647161 38.702599, 14.597382 39.10714, 14.929229 37.486519, 12.046189 37.08065)), ((14.39932 36.692097, 13.95442 36.759941, 14.42697 38.721542, 14.88371 38.65353, 14.39932 36.692097)))"
88,1794761,S1B_IW_SLC__1SDV_20210409T170340_20210409T170407_026393_03268C_D86B,0.07116592272803858,"MULTIPOLYGON (((12.407041 35.587864, 12.016444 37.209965, 14.903927 37.615582, 15.232098 35.995079, 12.407041 35.587864)), ((14.39932 36.692097, 13.95442 36.759941, 14.42697 38.721542, 14.88371 38.65353, 14.39932 36.692097)))"
90,1817291,S1A_IW_SLC__1SDV_20210420T171257_20210420T171324_037537_046D28_4B3B,0.09013136702491092,"MULTIPOLYGON (((10.077396 36.800732, 9.680446 38.422737, 12.596523 38.824249, 12.927722 37.203632, 10.077396 36.800732)), ((12.60916 37.38393, 12.15651 37.450699, 12.39022 38.443768, 12.84899 38.376923, 12.60916 37.38393)))"
93,1292320,S1A_IW_SLC__1SDV_20200225T171249_20200225T171316_031412_039DAF_3A06,0.018021123391904384,"MULTIPOLYGON (((10.077328 36.800797, 9.680595 38.421909, 12.579623 38.821281, 12.911014 37.201527, 10.077328 36.800797)), ((13.02709 37.397224, 12.57808 37.46521, 12.82518 38.487633, 13.28045 38.419628, 13.02709 37.397224)))"
100,1356523,S1A_IW_SLC__1SDV_20200531T171253_20200531T171320_032812_03CCF9_AC01,0.02235600522149684,"MULTIPOLYGON (((10.077937 36.800545, 9.681216000000001 38.42168, 12.579867 38.821014, 12.911263 37.201241, 10.077937 36.800545)), ((13.0149 37.295158, 12.56645 37.362907, 12.8436 38.510498, 13.29903 38.44257, 13.0149 37.295158)))"
101,1356523,S1A_IW_SLC__1SDV_20200531T171228_20200531T171255_032812_03CCF9_AA26,7.459626507733304e-05,"MULTIPOLYGON (((10.434448 35.307449, 10.045873 36.928852, 12.884596 37.329506, 13.212439 35.70972800000001, 10.434448 35.307449)), ((13.0149 37.295158, 12.56645 37.362907, 12.8436 38.510498, 13.29903 38.44257, 13.0149 37.295158)))"
103,1388971,S1A_IW_SLC__1SDV_20200718T171256_20200718T171323_033512_03E220_ACC1,0.02189051592893789,"MULTIPOLYGON (((10.078424 36.800674, 9.681688000000001 38.422066, 12.580302 38.821339, 12.911704 37.201309, 10.078424 36.800674)), ((13.01318 37.322277, 12.56459 37.390163, 12.84052 38.532562, 13.29605 38.464493, 13.01318 37.322277)))"
115,1297203,S1B_IW_SLC__1SDV_20200304T165552_20200304T165619_020545_026EEC_E01D,0.052616608071786836,"MULTIPOLYGON (((13.994668 37.535198, 13.593225 39.155846, 16.567457 39.560562, 16.90015 37.941162, 13.994668 37.535198)), ((14.00273 36.892124, 13.55312 36.959427, 13.88376 38.370338, 14.341941 38.302982, 14.00273 36.892124)))"
116,1297203,S1B_IW_SLC__1SDV_20200304T165528_20200304T165555_020545_026EEC_D998,0.010765849744640182,"MULTIPOLYGON (((14.351791 36.041508, 13.958625 37.663433, 16.871288 38.069645, 17.20047 36.449238, 14.351791 36.041508)), ((14.00273 36.892124, 13.55312 36.959427, 13.88376 38.370338, 14.341941 38.302982, 14.00273 36.892124)))"
117,1328748,S1B_IW_SLC__1SDV_20200421T165554_20200421T165621_021245_028510_8B56,0.05367327193874459,"MULTIPOLYGON (((13.99568 37.534763, 13.594205 39.155933, 16.568106 39.560524, 16.900826 37.940601, 13.99568 37.534763)), ((13.99828 36.873009, 13.54872 36.940052, 13.88717 38.383991, 14.345481 38.316849, 13.99828 36.873009)))"
118,1328748,S1B_IW_SLC__1SDV_20200421T165529_20200421T165556_021245_028510_40EE,0.010648048382319997,"MULTIPOLYGON (((14.352922 36.04018, 13.959606 37.663124, 16.871941 38.06921, 17.201248 36.447792, 14.352922 36.04018)), ((13.99828 36.873009, 13.54872 36.940052, 13.88717 38.383991, 14.345481 38.316849, 13.99828 36.873009)))"
122,1360337,S1B_IW_SLC__1SDV_20200608T165556_20200608T165623_021945_029A5B_F53A,0.05402080608240702,"MULTIPOLYGON (((13.996461 37.534637, 13.595103 39.155319, 16.568869 39.559902, 16.901495 37.940468, 13.996461 37.534637)), ((14.00532 36.887512, 13.55569 36.954613, 13.89034 38.383266, 14.348641 38.316109, 14.00532 36.887512)))"
123,1360337,S1B_IW_SLC__1SDV_20200608T165532_20200608T165559_021945_029A5B_BDF5,0.01090934470376072,"MULTIPOLYGON (((14.353526 36.040791, 13.960441 37.66275, 16.872656 38.068829, 17.201773 36.448395, 14.353526 36.040791)), ((14.00532 36.887512, 13.55569 36.954613, 13.89034 38.383266, 14.348641 38.316109, 14.00532 36.887512)))"
129,1448853,S1B_IW_SLC__1SDV_20200912T165602_20200912T165629_023345_02C567_71F2,0.056207461008490694,"MULTIPOLYGON (((13.994561 37.534966, 13.592955 39.15638, 16.566813 39.561028, 16.899651 37.940861, 13.994561 37.534966)), ((14.00954 36.887882, 13.55997 36.95525, 13.89856 38.400024, 14.356921 38.332638, 14.00954 36.887882)))"
130,1448853,S1B_IW_SLC__1SDV_20200912T165537_20200912T165604_023345_02C567_8CF2,0.01149956923713786,"MULTIPOLYGON (((14.351689 36.04113, 13.958483 37.663326, 16.87076 38.069469, 17.199982 36.448795, 14.351689 36.04113)), ((14.00954 36.887882, 13.55997 36.95525, 13.89856 38.400024, 14.356921 38.332638, 14.00954 36.887882)))"
133,1655589,S1B_IW_SLC__1SDV_20201217T165601_20201217T165628_024745_02F172_1E9A,0.05573362575879666,"MULTIPOLYGON (((13.994151 37.535469, 13.592747 39.155991, 16.56706 39.560684, 16.89971 37.941406, 13.994151 37.535469)), ((13.99951 36.851212, 13.55009 36.918285, 13.8966 38.398098, 14.35501 38.330952, 13.99951 36.851212)))"
134,1655589,S1B_IW_SLC__1SDV_20201217T165536_20201217T165603_024745_02F172_2A3F,0.011367575211823815,"MULTIPOLYGON (((14.351389 36.04129, 13.958171 37.663456, 16.870901 38.069645, 17.200113 36.448994, 14.351389 36.04129)), ((13.99951 36.851212, 13.55009 36.918285, 13.8966 38.398098, 14.35501 38.330952, 13.99951 36.851212)))"
137,1772282,S1B_IW_SLC__1SDV_20210323T165559_20210323T165626_026145_031EAC_1046,0.05790155827829297,"MULTIPOLYGON (((13.994868 37.534035, 13.593291 39.15530800000001, 16.567459 39.560024, 16.900272 37.939999, 13.994868 37.534035)), ((13.99707 36.841282, 13.54775 36.908573, 13.9027 38.422951, 14.361211 38.355598, 13.99707 36.841282)))"
138,1772282,S1B_IW_SLC__1SDV_20210323T165534_20210323T165601_026145_031EAC_2ADF,0.011252518325998596,"MULTIPOLYGON (((14.351992 36.040215, 13.958815 37.66227, 16.871405 38.068481, 17.200602 36.447948, 14.351992 36.040215)), ((13.99707 36.841282, 13.54775 36.908573, 13.9027 38.422951, 14.361211 38.355598, 13.99707 36.841282)))"
