,CSK,SEN,IoU,geometry
100,1329574,S1A_IW_SLC__1SDV_20200422T164853_20200422T164920_032243_03BACF_7752,0.07743972789939722,"MULTIPOLYGON (((15.596158 39.420292, 15.182966 41.04012700000001, 18.232637 41.442039, 18.570707 39.823071, 15.596158 39.420292)), ((15.53581 39.783981, 15.068731 39.854523, 15.69314 42.247078, 16.17728 42.176014, 15.53581 39.783981)))"
104,1350692,S1A_IW_SLC__1SDV_20200523T164051_20200523T164118_032695_03C97C_394C,0.04293952277704201,"MULTIPOLYGON (((17.503752 40.038742, 17.086159 41.659153, 20.164967 42.06052800000001, 20.505095 40.440857, 17.503752 40.038742)), ((20.019415 41.061398, 19.547783 41.129509, 19.662552 41.578396, 20.127333 41.511738, 20.019415 41.061398)))"
109,1350681,S1A_IW_SLC__1SDV_20200523T164026_20200523T164054_032695_03C97C_3EA9,0.044765941328500466,"MULTIPOLYGON (((17.890366 38.488708, 17.468475 40.167675, 20.476788 40.569904, 20.824217 38.892036, 17.890366 38.488708)), ((20.481176 39.780128, 19.98908 39.855644, 20.093216 40.310722, 20.587004 40.235455, 20.481176 39.780128)))"
112,1358150,S1B_IW_SLC__1SDV_20200603T164814_20200603T164842_021872_029834_5BB5,0.07227750677760178,"MULTIPOLYGON (((15.569584 39.467693, 15.153799 41.094769, 18.219179 41.498608, 18.558983 39.872379, 15.569584 39.467693)), ((17.81772 40.145412, 17.347281 40.212296, 17.53064 40.961739, 18.00634 40.894798, 17.81772 40.145412)))"
116,1390671,S1B_IW_SLC__1SDV_20200721T164817_20200721T164844_022572_02AD75_079B,0.06881960635476933,"MULTIPOLYGON (((15.570131 39.46817, 15.154502 41.094631, 18.219822 41.498463, 18.559498 39.872849, 15.570131 39.46817)), ((17.837099 40.14867, 17.366631 40.215553, 17.54121 40.929054, 18.016649 40.862041, 17.837099 40.14867)))"
119,1396579,S1A_IW_SLC__1SDV_20200727T164924_20200727T164951_033643_03E62C_F6FD,0.10881814811691079,"MULTIPOLYGON (((15.214519 40.909283, 14.790421 42.528717, 17.91503 42.93029, 18.258224 41.311378, 15.214519 40.909283)), ((15.54216 39.765202, 15.07511 39.835327, 15.703951 42.245827, 16.18819 42.175179, 15.54216 39.765202)))"
120,1396579,S1A_IW_SLC__1SDV_20200727T164859_20200727T164926_033643_03E62C_34BB,0.07954076197726018,"MULTIPOLYGON (((15.595191 39.419445, 15.182081 41.038784, 18.23159 41.440746, 18.569609 39.822269, 15.595191 39.419445)), ((15.54216 39.765202, 15.07511 39.835327, 15.703951 42.245827, 16.18819 42.175179, 15.54216 39.765202)))"
124,1442715,S1B_IW_SLC__1SDV_20200907T164820_20200907T164847_023272_02C322_AED5,0.0689283958772235,"MULTIPOLYGON (((15.568368 39.468903, 15.15259 41.095726, 18.217907 41.499592, 18.557709 39.873608, 15.568368 39.468903)), ((17.84716 40.150509, 17.37665 40.217236, 17.55159 40.932045, 18.027069 40.865101, 17.84716 40.150509)))"
127,1450824,S1A_IW_SLC__1SDV_20200913T164926_20200913T164953_034343_03FE2F_406B,0.1089411880281094,"MULTIPOLYGON (((15.214472 40.910564, 14.790381 42.529869, 17.91507 42.931446, 18.258251 41.31266, 15.214472 40.910564)), ((15.55057 39.769512, 15.08352 39.839745, 15.71208 42.249287, 16.19632 42.178535, 15.55057 39.769512)))"
128,1450824,S1A_IW_SLC__1SDV_20200913T164901_20200913T164928_034343_03FE2F_CA54,0.08081116296068265,"MULTIPOLYGON (((15.595325 39.420113, 15.182068 41.03994, 18.231646 41.441906, 18.569778 39.822937, 15.595325 39.420113)), ((15.55057 39.769512, 15.08352 39.839745, 15.71208 42.249287, 16.19632 42.178535, 15.55057 39.769512)))"
