,CSK,SEN,IoU,geometry
17,1310194,S1B_IW_SLC__1SDV_20200323T164901_20200323T164928_020822_0277BB_61A9,0.0,"MULTIPOLYGON (((14.81484 42.452419, 14.376866 44.077023, 17.591019 44.478973, 17.941097 42.854519, 14.81484 42.452419)), ((17.5375 40.138466, 17.0623 40.205189, 17.292299 41.160824, 17.77433 41.094112, 17.5375 40.138466)))"
18,1310194,S1B_IW_SLC__1SDV_20200323T164836_20200323T164903_020822_0277BB_F4EA,0.0,"MULTIPOLYGON (((15.186537 40.959263, 14.759836 42.585541, 17.901258 42.989079, 18.246124 41.3633, 15.186537 40.959263)), ((17.5375 40.138466, 17.0623 40.205189, 17.292299 41.160824, 17.77433 41.094112, 17.5375 40.138466)))"
19,1310194,S1B_IW_SLC__1SDV_20200323T164811_20200323T164838_020822_0277BB_5BCA,0.09318009558844352,"MULTIPOLYGON (((15.568316 39.468395, 15.152668 41.094837, 18.218311 41.498726, 18.557999 39.873131, 15.568316 39.468395)), ((17.5375 40.138466, 17.0623 40.205189, 17.292299 41.160824, 17.77433 41.094112, 17.5375 40.138466)))"
20,1310194,S1B_IW_SLC__1SDV_20200323T164745_20200323T164813_020822_0277BB_C56E,0.0,"MULTIPOLYGON (((15.951579 37.924889, 15.532907 39.603958, 18.52919 40.008698, 18.875097 38.33083, 15.951579 37.924889)), ((17.5375 40.138466, 17.0623 40.205189, 17.292299 41.160824, 17.77433 41.094112, 17.5375 40.138466)))"
21,1340348,S1B_IW_SLC__1SDV_20200510T164903_20200510T164930_021522_028DCF_1E27,0.0,"MULTIPOLYGON (((14.815294 42.452599, 14.377447 44.076599, 17.591206 44.478542, 17.941196 42.854683, 14.815294 42.452599)), ((17.54476 40.133686, 17.069559 40.200279, 17.29969 41.156349, 17.7817 41.089676, 17.54476 40.133686)))"
22,1340348,S1B_IW_SLC__1SDV_20200510T164838_20200510T164905_021522_028DCF_559E,0.0,"MULTIPOLYGON (((15.187173 40.95919, 14.760536 42.585117, 17.901533 42.988636, 18.246363 41.363209, 15.187173 40.95919)), ((17.54476 40.133686, 17.069559 40.200279, 17.29969 41.156349, 17.7817 41.089676, 17.54476 40.133686)))"
23,1340348,S1B_IW_SLC__1SDV_20200510T164813_20200510T164840_021522_028DCF_60B1,0.09318758148236753,"MULTIPOLYGON (((15.569003 39.468182, 15.153161 41.095257, 18.218437 41.499126, 18.558294 39.872898, 15.569003 39.468182)), ((17.54476 40.133686, 17.069559 40.200279, 17.29969 41.156349, 17.7817 41.089676, 17.54476 40.133686)))"
24,1340348,S1B_IW_SLC__1SDV_20200510T164747_20200510T164815_021522_028DCF_666A,0.0,"MULTIPOLYGON (((15.952308 37.92466, 15.533572 39.60387, 18.529465 40.008591, 18.875437 38.330582, 15.952308 37.92466)), ((17.54476 40.133686, 17.069559 40.200279, 17.29969 41.156349, 17.7817 41.089676, 17.54476 40.133686)))"
25,1367144,S1B_IW_SLC__1SDV_20200622T164101_20200622T164128_022149_02A09E_D81A,0.0,"MULTIPOLYGON (((16.734312 43.020443, 16.293688 44.637867, 19.523083 45.037651, 19.874117 43.420227, 16.734312 43.020443)), ((15.84664 39.391426, 15.376471 39.457836, 16.018669 42.122215, 16.507931 42.055592, 15.84664 39.391426)))"
26,1367144,S1B_IW_SLC__1SDV_20200622T164036_20200622T164103_022149_02A09E_AA0A,0.0,"MULTIPOLYGON (((17.137632 41.531803, 16.709528 43.150696, 19.852041 43.549709, 20.197113 41.931217, 17.137632 41.531803)), ((15.84664 39.391426, 15.376471 39.457836, 16.018669 42.122215, 16.507931 42.055592, 15.84664 39.391426)))"
27,1367144,S1B_IW_SLC__1SDV_20200622T164010_20200622T164038_022149_02A09E_5DE1,0.0,"MULTIPOLYGON (((17.522343 39.981468, 17.090443 41.658684, 20.162056 42.059109, 20.514078 40.382664, 17.522343 39.981468)), ((15.84664 39.391426, 15.376471 39.457836, 16.018669 42.122215, 16.507931 42.055592, 15.84664 39.391426)))"
28,1367144,S1B_IW_SLC__1SDV_20200622T163945_20200622T164012_022149_02A09E_90D6,0.0,"MULTIPOLYGON (((17.894146 38.489216, 17.487259 40.109657, 20.485912 40.510971, 20.821207 38.89159, 17.894146 38.489216)), ((15.84664 39.391426, 15.376471 39.457836, 16.018669 42.122215, 16.507931 42.055592, 15.84664 39.391426)))"
29,1398512,S1A_IW_SLC__1SDV_20200729T163319_20200729T163346_033672_03E70A_44D6,0.0,"MULTIPOLYGON (((18.995342 42.252995, 18.561142 43.871346, 21.750547 44.27145, 22.098442 42.653309, 18.995342 42.252995)), ((16.800131 40.492596, 16.313948 40.556736, 16.418142 41.005199, 16.902962 40.941696, 16.800131 40.492596)))"
30,1406727,S1B_IW_SLC__1SDV_20200809T164104_20200809T164131_022849_02B5FB_5F70,0.0,"MULTIPOLYGON (((16.732082 43.020218, 16.291319 44.637875, 19.520782 45.03774600000001, 19.871943 43.42009, 16.732082 43.020218)), ((15.83704 39.401531, 15.3668 39.467937, 15.999961 42.094288, 16.489 42.027637, 15.83704 39.401531)))"
31,1406727,S1B_IW_SLC__1SDV_20200809T164039_20200809T164106_022849_02B5FB_D4D5,0.0,"MULTIPOLYGON (((17.135464 41.531586, 16.707293 43.150467, 19.849861 43.549568, 20.195002 41.931087, 17.135464 41.531586)), ((15.83704 39.401531, 15.3668 39.467937, 15.999961 42.094288, 16.489 42.027637, 15.83704 39.401531)))"
32,1406727,S1B_IW_SLC__1SDV_20200809T164013_20200809T164041_022849_02B5FB_9605,0.0,"MULTIPOLYGON (((17.520205 39.981388, 17.088236 41.658588, 20.159914 42.05909699999999, 20.512005 40.382664, 17.520205 39.981388)), ((15.83704 39.401531, 15.3668 39.467937, 15.999961 42.094288, 16.489 42.027637, 15.83704 39.401531)))"
33,1406727,S1B_IW_SLC__1SDV_20200809T163948_20200809T164015_022849_02B5FB_E246,0.0,"MULTIPOLYGON (((17.89204 38.489269, 17.485025 40.109947, 20.483759 40.51134099999999, 20.819166 38.891727, 17.89204 38.489269)), ((15.83704 39.401531, 15.3668 39.467937, 15.999961 42.094288, 16.489 42.027637, 15.83704 39.401531)))"
34,1479132,S1B_IW_SLC__1SDV_20200926T164106_20200926T164133_023549_02CBDE_2735,0.0,"MULTIPOLYGON (((16.732063 43.021011, 16.291271 44.638664, 19.520943 45.038559, 19.872116 43.42090200000001, 16.732063 43.021011)), ((18.161591 42.403347, 17.634979 42.482052, 17.747641 42.922897, 18.267855 42.8456, 18.161591 42.403347)))"
35,1479132,S1B_IW_SLC__1SDV_20200926T164041_20200926T164108_023549_02CBDE_8123,0.0463087031201403,"MULTIPOLYGON (((17.135551 41.532143, 16.707291 43.151264, 19.850044 43.550385, 20.195248 41.931664, 17.135551 41.532143)), ((18.161591 42.403347, 17.634979 42.482052, 17.747641 42.922897, 18.267855 42.8456, 18.161591 42.403347)))"
36,1479132,S1B_IW_SLC__1SDV_20200926T164015_20200926T164043_023549_02CBDE_4D4F,0.0,"MULTIPOLYGON (((17.520414 39.981583, 17.088425 41.658775, 20.160242 42.059303, 20.512341 40.382874, 17.520414 39.981583)), ((18.161591 42.403347, 17.634979 42.482052, 17.747641 42.922897, 18.267855 42.8456, 18.161591 42.403347)))"
37,1479132,S1B_IW_SLC__1SDV_20200926T163950_20200926T164017_023549_02CBDE_FD6A,0.0,"MULTIPOLYGON (((17.89226 38.489468, 17.485353 40.10964600000001, 20.484118 40.511047, 20.819433 38.89193, 17.89226 38.489468)), ((18.161591 42.403347, 17.634979 42.482052, 17.747641 42.922897, 18.267855 42.8456, 18.161591 42.403347)))"
38,1481153,S1B_IW_SLC__1SDV_20200926T164106_20200926T164133_023549_02CBDE_2735,0.0,"MULTIPOLYGON (((16.732063 43.021011, 16.291271 44.638664, 19.520943 45.038559, 19.872116 43.42090200000001, 16.732063 43.021011)), ((15.840689 39.384747, 15.3706 39.451263, 16.012819 42.115028, 16.502001 42.048283, 15.840689 39.384747)))"
39,1481153,S1B_IW_SLC__1SDV_20200926T164041_20200926T164108_023549_02CBDE_8123,0.0,"MULTIPOLYGON (((17.135551 41.532143, 16.707291 43.151264, 19.850044 43.550385, 20.195248 41.931664, 17.135551 41.532143)), ((15.840689 39.384747, 15.3706 39.451263, 16.012819 42.115028, 16.502001 42.048283, 15.840689 39.384747)))"
40,1481153,S1B_IW_SLC__1SDV_20200926T164015_20200926T164043_023549_02CBDE_4D4F,0.0,"MULTIPOLYGON (((17.520414 39.981583, 17.088425 41.658775, 20.160242 42.059303, 20.512341 40.382874, 17.520414 39.981583)), ((15.840689 39.384747, 15.3706 39.451263, 16.012819 42.115028, 16.502001 42.048283, 15.840689 39.384747)))"
41,1481153,S1B_IW_SLC__1SDV_20200926T163950_20200926T164017_023549_02CBDE_FD6A,0.0,"MULTIPOLYGON (((17.89226 38.489468, 17.485353 40.10964600000001, 20.484118 40.511047, 20.819433 38.89193, 17.89226 38.489468)), ((15.840689 39.384747, 15.3706 39.451263, 16.012819 42.115028, 16.502001 42.048283, 15.840689 39.384747)))"
42,1571718,S1A_IW_SLC__1SDV_20201102T163321_20201102T163348_035072_041796_2904,0.0,"MULTIPOLYGON (((18.995737 42.25281500000001, 18.561483 43.871262, 21.751352 44.27141599999999, 22.099272 42.653172, 18.995737 42.25281500000001)), ((18.151239 39.684223, 17.68788 39.752647, 17.9492 40.795181, 18.419689 40.72665, 18.151239 39.684223)))"
43,1599279,S1B_IW_SLC__1SDV_20201113T164106_20201113T164133_024249_02E1AF_E6D5,0.0,"MULTIPOLYGON (((16.732323 43.021038, 16.291599 44.63842, 19.521675 45.038349, 19.872774 43.420963, 16.732323 43.021038)), ((18.168289 42.397747, 17.642361 42.476505, 17.751747 42.916336, 18.273254 42.838654, 18.168289 42.397747)))"
44,1599279,S1B_IW_SLC__1SDV_20201113T164041_20201113T164108_024249_02E1AF_257C,0.046188210916303145,"MULTIPOLYGON (((17.135752 41.532436, 16.707556 43.151291, 19.85063 43.550434, 20.195765 41.931976, 17.135752 41.532436)), ((18.168289 42.397747, 17.642361 42.476505, 17.751747 42.916336, 18.273254 42.838654, 18.168289 42.397747)))"
45,1599279,S1B_IW_SLC__1SDV_20201113T164015_20201113T164043_024249_02E1AF_9E94,0.0,"MULTIPOLYGON (((17.520601 39.982151, 17.088612 41.65932100000001, 20.160736 42.059868, 20.512823 40.383457, 17.520601 39.982151)), ((18.168289 42.397747, 17.642361 42.476505, 17.751747 42.916336, 18.273254 42.838654, 18.168289 42.397747)))"
46,1599279,S1B_IW_SLC__1SDV_20201113T163950_20201113T164017_024249_02E1AF_5934,0.0,"MULTIPOLYGON (((17.892467 38.489799, 17.485498 40.110207, 20.484652 40.511635, 20.820004 38.892292, 17.892467 38.489799)), ((18.168289 42.397747, 17.642361 42.476505, 17.751747 42.916336, 18.273254 42.838654, 18.168289 42.397747)))"
47,1601178,S1B_IW_SLC__1SDV_20201113T164106_20201113T164133_024249_02E1AF_E6D5,0.0,"MULTIPOLYGON (((16.732323 43.021038, 16.291599 44.63842, 19.521675 45.038349, 19.872774 43.420963, 16.732323 43.021038)), ((15.83621 39.327271, 15.36657 39.394119, 16.03063 42.149345, 16.52001 42.082394, 15.83621 39.327271)))"
48,1601178,S1B_IW_SLC__1SDV_20201113T164041_20201113T164108_024249_02E1AF_257C,0.0,"MULTIPOLYGON (((17.135752 41.532436, 16.707556 43.151291, 19.85063 43.550434, 20.195765 41.931976, 17.135752 41.532436)), ((15.83621 39.327271, 15.36657 39.394119, 16.03063 42.149345, 16.52001 42.082394, 15.83621 39.327271)))"
49,1601178,S1B_IW_SLC__1SDV_20201113T164015_20201113T164043_024249_02E1AF_9E94,0.0,"MULTIPOLYGON (((17.520601 39.982151, 17.088612 41.65932100000001, 20.160736 42.059868, 20.512823 40.383457, 17.520601 39.982151)), ((15.83621 39.327271, 15.36657 39.394119, 16.03063 42.149345, 16.52001 42.082394, 15.83621 39.327271)))"
50,1601178,S1B_IW_SLC__1SDV_20201113T163950_20201113T164017_024249_02E1AF_5934,0.0,"MULTIPOLYGON (((17.892467 38.489799, 17.485498 40.110207, 20.484652 40.511635, 20.820004 38.892292, 17.892467 38.489799)), ((15.83621 39.327271, 15.36657 39.394119, 16.03063 42.149345, 16.52001 42.082394, 15.83621 39.327271)))"
51,1722008,S1A_IW_SLC__1SDV_20210206T163318_20210206T163345_036472_04482E_60A9,0.0,"MULTIPOLYGON (((18.995214 42.252415, 18.560951 43.870731, 21.750826 44.27093499999999, 22.098761 42.652824, 18.995214 42.252415)), ((16.807474 40.488857, 16.320854 40.553219, 16.425442 41.003128, 16.910374 40.9394, 16.807474 40.488857)))"
52,1730645,S1B_IW_SLC__1SDV_20210217T164102_20210217T164129_025649_030EB1_0396,0.0,"MULTIPOLYGON (((16.731632 43.020378, 16.29084 44.637882, 19.520836 45.037849, 19.872004 43.420338, 16.731632 43.020378)), ((18.163839 42.401466, 17.63781 42.479996, 17.750536 42.921036, 18.271412 42.8437, 18.163839 42.401466)))"
53,1730645,S1B_IW_SLC__1SDV_20210217T164037_20210217T164104_025649_030EB1_3956,0.04633720207014151,"MULTIPOLYGON (((17.13505 41.531902, 16.706852 43.150627, 19.849848 43.549809, 20.194998 41.931477, 17.13505 41.531902)), ((18.163839 42.401466, 17.63781 42.479996, 17.750536 42.921036, 18.271412 42.8437, 18.163839 42.401466)))"
54,1730645,S1B_IW_SLC__1SDV_20210217T164012_20210217T164040_025649_030EB1_747B,0.0,"MULTIPOLYGON (((17.519884 39.981735, 17.087921 41.658661, 20.160059 42.059254, 20.512131 40.383091, 17.519884 39.981735)), ((18.163839 42.401466, 17.63781 42.479996, 17.750536 42.921036, 18.271412 42.8437, 18.163839 42.401466)))"
55,1730645,S1B_IW_SLC__1SDV_20210217T163947_20210217T164014_025649_030EB1_0C6C,0.0,"MULTIPOLYGON (((17.891792 38.489391, 17.484787 40.109795, 20.483963 40.511269, 20.819349 38.891926, 17.891792 38.489391)), ((18.163839 42.401466, 17.63781 42.479996, 17.750536 42.921036, 18.271412 42.8437, 18.163839 42.401466)))"
56,1731542,S1B_IW_SLC__1SDV_20210217T164102_20210217T164129_025649_030EB1_0396,0.0,"MULTIPOLYGON (((16.731632 43.020378, 16.29084 44.637882, 19.520836 45.037849, 19.872004 43.420338, 16.731632 43.020378)), ((15.836791 39.352169, 15.366901 39.41864, 16.02219 42.137096, 16.511539 42.070404, 15.836791 39.352169)))"
57,1731542,S1B_IW_SLC__1SDV_20210217T164037_20210217T164104_025649_030EB1_3956,0.0,"MULTIPOLYGON (((17.13505 41.531902, 16.706852 43.150627, 19.849848 43.549809, 20.194998 41.931477, 17.13505 41.531902)), ((15.836791 39.352169, 15.366901 39.41864, 16.02219 42.137096, 16.511539 42.070404, 15.836791 39.352169)))"
58,1731542,S1B_IW_SLC__1SDV_20210217T164012_20210217T164040_025649_030EB1_747B,0.0,"MULTIPOLYGON (((17.519884 39.981735, 17.087921 41.658661, 20.160059 42.059254, 20.512131 40.383091, 17.519884 39.981735)), ((15.836791 39.352169, 15.366901 39.41864, 16.02219 42.137096, 16.511539 42.070404, 15.836791 39.352169)))"
59,1731542,S1B_IW_SLC__1SDV_20210217T163947_20210217T164014_025649_030EB1_0C6C,0.0,"MULTIPOLYGON (((17.891792 38.489391, 17.484787 40.109795, 20.483963 40.511269, 20.819349 38.891926, 17.891792 38.489391)), ((15.836791 39.352169, 15.366901 39.41864, 16.02219 42.137096, 16.511539 42.070404, 15.836791 39.352169)))"
