Granule Name,"Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
S1A_IW_SLC__1SDV_20210126T171231_20210126T171258_036312_0442AB_9706,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36312","15","114","2021-01-26T17:12:58.000000","2021-01-26T17:12:31.000000","SLC","2021-01-26T17:12:31.000000","2021-01-26T17:12:58.000000","36.327","11.641","35.307034","10.434218","35.70932","13.212557","36.92878","10.045554","37.329445","12.884663","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210126T171231_20210126T171258_036312_0442AB_9706.zip","3746.896099090576","None","None","0","S1A_IWDV_0114_0119_036312_015",""
S1B_IW_SLC__1SDV_20210126T052041_20210126T052108_025321_030402_E305,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25321","95","467","2021-01-26T05:21:08.000000","2021-01-26T05:20:41.000000","SLC","2021-01-26T05:20:41.000000","2021-01-26T05:21:08.000000","37.4717","10.5352","38.07246","12.163405","38.474464","9.263039","36.450733","11.768127","36.854153","8.932378","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210126T052041_20210126T052108_025321_030402_E305.zip","3835.1225595474243","None","None","0","S1B_IWDV_0467_0473_025321_095",""
S1B_IW_SLC__1SDV_20210126T052016_20210126T052043_025321_030402_6F34,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25321","95","462","2021-01-26T05:20:43.000000","2021-01-26T05:20:16.000000","SLC","2021-01-26T05:20:16.000000","2021-01-26T05:20:43.000000","38.9638","10.872","39.564571","12.535237","39.965511","9.570879","37.94302","12.131077","38.345093","9.236239","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210126T052016_20210126T052043_025321_030402_6F34.zip","3651.2015647888184","None","None","0","S1B_IWDV_0462_0468_025321_095",""
S1B_IW_SLC__1SDV_20210122T165559_20210122T165626_025270_030252_2020,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25270","44","122","2021-01-22T16:56:26.000000","2021-01-22T16:55:59.000000","SLC","2021-01-22T16:55:59.000000","2021-01-22T16:56:26.000000","38.5571","15.2607","37.534309","13.995336","37.940269","16.900818","39.155819","13.593666","39.560535","16.567944","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210122T165559_20210122T165626_025270_030252_2020.zip","3763.331132888794","None","None","0","S1B_IWDV_0121_0128_025270_044",""
S1B_IW_SLC__1SDV_20210122T165534_20210122T165601_025270_030252_F279,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25270","44","117","2021-01-22T16:56:01.000000","2021-01-22T16:55:34.000000","SLC","2021-01-22T16:55:34.000000","2021-01-22T16:56:01.000000","37.064","15.5927","36.040501","14.352492","36.448227","17.201162","37.662914","13.959195","38.069122","16.871878","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210122T165534_20210122T165601_025270_030252_F279.zip","3544.9038734436035","None","None","0","S1B_IWDV_0116_0123_025270_044",""
S1A_IW_SLC__1SDV_20210122T050459_20210122T050526_036246_04406B_32B3,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36246","124","468","2021-01-22T05:05:26.000000","2021-01-22T05:04:59.000000","SLC","2021-01-22T05:04:59.000000","2021-01-22T05:05:26.000000","37.2375","14.5825","37.842812","16.203279","38.243813","13.318425","36.213142","15.807796","36.615627","12.986985","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210122T050459_20210122T050526_036246_04406B_32B3.zip","3876.8066806793213","None","None","0","S1A_IWDV_0467_0474_036246_124",""
S1A_IW_SLC__1SDV_20210122T050434_20210122T050501_036246_04406B_A1D2,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36246","124","463","2021-01-22T05:05:01.000000","2021-01-22T05:04:34.000000","SLC","2021-01-22T05:04:34.000000","2021-01-22T05:05:01.000000","38.73","14.9221","39.334339","16.578346","39.7346","13.628273","37.706326","16.174355","38.107788","13.293176","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210122T050434_20210122T050501_036246_04406B_A1D2.zip","3558.4310808181763","None","None","0","S1A_IWDV_0462_0469_036246_124",""
S1A_IW_SLC__1SDV_20210121T170500_20210121T170527_036239_044029_052A,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36239","117","123","2021-01-21T17:05:27.000000","2021-01-21T17:05:00.000000","SLC","2021-01-21T17:05:00.000000","2021-01-21T17:05:27.000000","38.8726","13.1154","37.854664","11.873133","38.252689","14.733438","39.474869","11.470125","39.871761","14.398857","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210121T170500_20210121T170527_036239_044029_052A.zip","3472.548843383789","None","None","0","S1A_IWDV_0122_0129_036239_117",""
S1A_IW_SLC__1SDV_20210121T170435_20210121T170502_036239_044029_B4BB,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36239","117","118","2021-01-21T17:05:02.000000","2021-01-21T17:04:35.000000","SLC","2021-01-21T17:04:35.000000","2021-01-21T17:05:02.000000","37.3811","13.4579","36.362904","12.24297","36.761677","15.041885","37.98415","11.84873","38.381504","14.711203","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210121T170435_20210121T170502_036239_044029_B4BB.zip","3923.0641651153564","None","None","0","S1A_IWDV_0117_0124_036239_117",""
S1B_IW_SLC__1SDV_20210121T051229_20210121T051256_025248_03019B_9A8B,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25248","22","468","2021-01-21T05:12:56.000000","2021-01-21T05:12:29.000000","SLC","2021-01-21T05:12:29.000000","2021-01-21T05:12:56.000000","37.3499","12.5688","37.950802","14.194028","38.352909","11.299423","36.328629","13.79925","36.73217","10.968876","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210121T051229_20210121T051256_025248_03019B_9A8B.zip","3613.759570121765","None","None","0","S1B_IWDV_0467_0474_025248_022",""
