Granule Name,"Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
S1B_IW_SLC__1SDV_20210307T062714_20210307T062741_025905_0316F5_123C,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25905","154","476","2021-03-07T06:27:41.000000","2021-03-07T06:27:14.000000","SLC","2021-03-07T06:27:14.000000","2021-03-07T06:27:41.000000","34.7772","-6.5325","35.37748","-4.950546","35.78476","-7.767476","33.752567","-5.33257","34.161755","-8.092334","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210307T062714_20210307T062741_025905_0316F5_123C.zip","3672.819215774536","None","None","0","S1B_IWDV_0476_0481_025905_154",""
S1B_IW_SLC__1SDV_20210307T062650_20210307T062717_025905_0316F5_E0E0,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25905","154","471","2021-03-07T06:27:17.000000","2021-03-07T06:26:50.000000","SLC","2021-03-07T06:26:50.000000","2021-03-07T06:27:17.000000","36.2713","-6.2049","36.87167","-4.592108","37.277431","-7.465775","35.247353","-4.981427","35.654774","-7.793609","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210307T062650_20210307T062717_025905_0316F5_E0E0.zip","3675.616500854492","None","None","0","S1B_IWDV_0471_0477_025905_154",""
S1B_IW_SLC__1SDV_20210306T182551_20210306T182618_025898_0316C2_747D,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25898","147","114","2021-03-06T18:26:18.000000","2021-03-06T18:25:51.000000","SLC","2021-03-06T18:25:51.000000","2021-03-06T18:26:18.000000","36.2469","-6.8646","35.228558","-8.063671","35.62933","-5.30126","36.848721","-8.451634","37.247879","-5.629047","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210306T182551_20210306T182618_025898_0316C2_747D.zip","3733.675175666809","None","None","0","S1B_IWDV_0113_0120_025898_147",""
S1B_IW_SLC__1SDV_20210306T182526_20210306T182553_025898_0316C2_3820,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25898","147","109","2021-03-06T18:25:53.000000","2021-03-06T18:25:26.000000","SLC","2021-03-06T18:25:26.000000","2021-03-06T18:25:53.000000","34.7538","-6.5333","33.73381","-7.708282","34.135948","-4.999182","35.35704","-8.089486","35.757313","-5.32439","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210306T182526_20210306T182553_025898_0316C2_3820.zip","3863.417579650879","None","None","0","S1B_IWDV_0108_0115_025898_147",""
S1A_IW_SLC__1SDV_20210304T175353_20210304T175420_036852_04556C_D7F6,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36852","30","117","2021-03-04T17:54:20.000000","2021-03-04T17:53:53.000000","SLC","2021-03-04T17:53:53.000000","2021-03-04T17:54:20.000000","37.1715","1.175","36.150448","-0.0501","36.553101","2.768541","37.773277","-0.443589","38.174438","2.438632","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210304T175353_20210304T175420_036852_04556C_D7F6.zip","3440.12499332428","None","None","0","S1A_IWDV_0116_0123_036852_030",""
S1A_IW_SLC__1SDV_20210304T175327_20210304T175355_036852_04556C_2D45,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36852","30","112","2021-03-04T17:53:55.000000","2021-03-04T17:53:27.000000","SLC","2021-03-04T17:53:27.000000","2021-03-04T17:53:55.000000","35.6515","1.5231","34.602539","0.331989","35.005726","3.088439","36.281788","-0.066559","36.683151","2.750818","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210304T175327_20210304T175355_036852_04556C_2D45.zip","4322.128530502319","None","None","0","S1A_IWDV_0111_0118_036852_030",""
S1B_IW_SLC__1SDV_20210304T060233_20210304T060300_025861_031595_99E7,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25861","110","476","2021-03-04T06:03:00.000000","2021-03-04T06:02:33.000000","SLC","2021-03-04T06:02:33.000000","2021-03-04T06:03:00.000000","34.8068","-0.3582","35.40675","1.225793","35.814323","-1.595148","33.782234","0.843782","34.191715","-1.919869","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210304T060233_20210304T060300_025861_031595_99E7.zip","4020.2883224487305","None","None","0","S1B_IWDV_0476_0482_025861_110",""
S1B_IW_SLC__1SDV_20210304T060208_20210304T060235_025861_031595_5CAE,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25861","110","471","2021-03-04T06:02:35.000000","2021-03-04T06:02:08.000000","SLC","2021-03-04T06:02:08.000000","2021-03-04T06:02:35.000000","36.2993","-0.0234","36.89888","1.593418","37.305672","-1.288293","35.27496","1.203902","35.683407","-1.616104","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210304T060208_20210304T060235_025861_031595_5CAE.zip","3630.841522216797","None","None","0","S1B_IWDV_0471_0477_025861_110",""
S1B_IW_SLC__1SDV_20210303T180122_20210303T180150_025854_031561_EB20,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25854","103","116","2021-03-03T18:01:50.000000","2021-03-03T18:01:22.000000","SLC","2021-03-03T18:01:22.000000","2021-03-03T18:01:50.000000","37.0216","-0.846","35.973331","-2.06113","36.375805","0.748769","37.651016","-2.466979","38.051918","0.408119","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210303T180122_20210303T180150_025854_031561_EB20.zip","3829.4615745544434","None","None","0","S1B_IWDV_0116_0122_025854_103",""
S1B_IW_SLC__1SDV_20210303T180054_20210303T180124_025854_031561_429F,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25854","103","111","2021-03-03T18:01:24.000000","2021-03-03T18:00:54.000000","SLC","2021-03-03T18:00:54.000000","2021-03-03T18:01:24.000000","35.4213","-0.4868","34.31369","-1.661291","34.717445","1.0862","36.109844","-2.086423","36.511612","0.725533","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210303T180054_20210303T180124_025854_031561_429F.zip","4437.893087387085","None","None","0","S1B_IWDV_0111_0117_025854_103",""
