Granule Name,"Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
S1A_IW_SLC__1SDV_20210224T172126_20210224T172153_036735_045158_517C,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36735","88","123","2021-02-24T17:21:53.000000","2021-02-24T17:21:26.000000","SLC","2021-02-24T17:21:26.000000","2021-02-24T17:21:53.000000","38.8589","9.0125","37.840092","7.762177","38.240189","10.638394","39.459816","7.359421","39.858757","10.304379","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210224T172126_20210224T172153_036735_045158_517C.zip","3380.3384704589844","None","None","0","S1A_IWDV_0123_0128_036735_088",""
S1B_IW_SLC__1SDV_20210224T052815_20210224T052852_025744_0311BA_13B2,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25744","168","459","2021-02-24T05:28:52.000000","2021-02-24T05:28:15.000000","SLC","2021-02-24T05:28:15.000000","2021-02-24T05:28:52.000000","39.5017","8.9271","40.411716","10.656213","40.804878","7.706646","38.178852","10.096039","38.573421","7.243046","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210224T052815_20210224T052852_025744_0311BA_13B2.zip","4992.477212905884","None","None","0","S1B_IWDV_0459_0467_025744_168",""
S1B_IW_SLC__1SDV_20210224T052750_20210224T052817_025744_0311BA_A8DF,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25744","168","455","2021-02-24T05:28:17.000000","2021-02-24T05:27:50.000000","SLC","2021-02-24T05:27:50.000000","2021-02-24T05:28:17.000000","41.2987","9.3471","41.901825","11.044042","42.294575","8.022918","40.28302","10.625483","40.676403","7.680909","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210224T052750_20210224T052817_025744_0311BA_A8DF.zip","3495.074941635132","None","None","0","S1B_IWDV_0454_0460_025744_168",""
S1B_IW_SLC__1SDV_20210223T172932_20210223T172959_025737_03117A_852B,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25737","161","129","2021-02-23T17:29:59.000000","2021-02-23T17:29:32.000000","SLC","2021-02-23T17:29:32.000000","2021-02-23T17:29:59.000000","40.8926","6.4914","39.874859","5.208488","40.271858","8.160132","41.494122","4.79249","41.890381","7.81983","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210223T172932_20210223T172959_025737_03117A_852B.zip","3121.0130577087402","None","None","0","S1B_IWDV_0129_0135_025737_161",""
S1B_IW_SLC__1SDV_20210223T172907_20210223T172934_025737_03117A_352A,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25737","161","124","2021-02-23T17:29:34.000000","2021-02-23T17:29:07.000000","SLC","2021-02-23T17:29:07.000000","2021-02-23T17:29:34.000000","39.401","6.8365","38.383167","5.58197","38.781147","8.469059","40.002914","5.176006","40.399841","8.133417","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210223T172907_20210223T172934_025737_03117A_352A.zip","3379.156554222107","None","None","0","S1B_IWDV_0124_0129_025737_161",""
S1B_IW_SLC__1SDV_20210223T172841_20210223T172909_025737_03117A_0752,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25737","161","119","2021-02-23T17:29:09.000000","2021-02-23T17:28:41.000000","SLC","2021-02-23T17:28:41.000000","2021-02-23T17:29:09.000000","37.8802","7.1818","36.833012","5.961206","37.232285","8.786044","38.511299","5.550232","38.909184","8.44268","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210223T172841_20210223T172909_025737_03117A_0752.zip","3821.5071630477905","None","None","0","S1B_IWDV_0119_0125_025737_161",""
S1A_IW_SLC__1SDV_20210223T053732_20210223T053759_036713_045095_9C8A,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36713","66","464","2021-02-23T05:37:59.000000","2021-02-23T05:37:32.000000","SLC","2021-02-23T05:37:32.000000","2021-02-23T05:37:59.000000","38.4862","6.6236","39.087219","8.279793","39.489113","5.327126","37.464371","7.878726","37.867535","4.994226","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210223T053732_20210223T053759_036713_045095_9C8A.zip","3640.7475271224976","None","None","0","S1A_IWDV_0463_0470_036713_066",""
S1A_IW_SLC__1SDV_20210223T053708_20210223T053735_036713_045095_7848,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36713","66","459","2021-02-23T05:37:35.000000","2021-02-23T05:37:08.000000","SLC","2021-02-23T05:37:08.000000","2021-02-23T05:37:35.000000","39.9782","6.9644","40.578426","8.657503","40.979439","5.6372","38.957146","8.247277","39.359131","5.300277","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210223T053708_20210223T053735_036713_045095_7848.zip","3604.3480520248413","None","None","0","S1A_IWDV_0458_0465_036713_066",""
S1A_IW_SLC__1SDV_20210223T053642_20210223T053710_036713_045095_A457,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36713","66","454","2021-02-23T05:37:10.000000","2021-02-23T05:36:42.000000","SLC","2021-02-23T05:36:42.000000","2021-02-23T05:37:10.000000","41.4982","7.3185","42.126698","9.060032","42.527119","5.963988","40.448433","8.624202","40.84951","5.609996","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210223T053642_20210223T053710_036713_045095_A457.zip","3596.66033744812","None","None","0","S1A_IWDV_0453_0460_036713_066",""
S1A_IW_SLC__1SDV_20210219T171410_20210219T171437_036662_044ED8_AA23,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36662","15","134","2021-02-19T17:14:37.000000","2021-02-19T17:14:10.000000","SLC","2021-02-19T17:14:10.000000","2021-02-19T17:14:37.000000","42.2958","10.2734","41.277634","8.956682","41.675404","11.984089","42.895683","8.530244","43.293041","11.639071","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210219T171410_20210219T171437_036662_044ED8_AA23.zip","3721.0913314819336","None","None","0","S1A_IWDV_0134_0140_036662_015",""
S1A_IW_SLC__1SDV_20210219T171345_20210219T171412_036662_044ED8_5425,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36662","15","129","2021-02-19T17:14:12.000000","2021-02-19T17:13:45.000000","SLC","2021-02-19T17:13:45.000000","2021-02-19T17:14:12.000000","40.8047","10.6239","39.786049","9.337324","40.184658","12.296","41.405495","8.921688","41.803349","11.956019","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210219T171345_20210219T171412_036662_044ED8_5425.zip","3472.3337507247925","None","None","0","S1A_IWDV_0129_0134_036662_015",""
S1A_IW_SLC__1SDV_20210219T171320_20210219T171347_036662_044ED8_E733,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36662","15","124","2021-02-19T17:13:47.000000","2021-02-19T17:13:20.000000","SLC","2021-02-19T17:13:20.000000","2021-02-19T17:13:47.000000","39.3132","10.9686","38.294548","9.710425","38.694157","12.604594","39.91423","9.30484","40.312767","12.269285","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210219T171320_20210219T171347_036662_044ED8_E733.zip","3434.863875389099","None","None","0","S1A_IWDV_0124_0130_036662_015",""
S1A_IW_SLC__1SDV_20210219T171255_20210219T171322_036662_044ED8_6FAD,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36662","15","119","2021-02-19T17:13:22.000000","2021-02-19T17:12:55.000000","SLC","2021-02-19T17:12:55.000000","2021-02-19T17:13:22.000000","37.8216","11.3078","36.802353","10.076391","37.203136","12.910154","38.42321","9.67966","38.822636","12.578762","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210219T171255_20210219T171322_036662_044ED8_6FAD.zip","3568.3366327285767","None","None","0","S1A_IWDV_0119_0124_036662_015",""
